ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
HOUSTBY01 ,Byron,Houston,N,4,47,15,3,2,5,3,1,2,0,9,9,6,5,3,0,0
HOWARDW01 ,Dwight,Howard,N,37,1491,717,395,175,570,59,30,98,116,153,434,256,344,205,2,0
HOWARJO01 ,Josh,Howard,N,62,2052,961,316,128,444,97,64,38,129,213,799,354,266,208,146,45
HOWARJU01 ,Juwan,Howard,N,23,688,226,83,49,132,27,13,7,21,59,216,83,78,60,0,0
HOWARST01 ,Stephen,Howard,N,15,40,23,8,3,11,0,1,0,2,13,17,6,15,11,0,0
HOWELBA01 ,Bailey,Howell,N,86,2722,1401,0,0,697,130,0,0,0,376,1165,542,433,317,0,0
HUBBAPH01 ,Phil,Hubbard,N,8,123,64,11,12,23,3,3,0,8,17,51,25,18,13,1,1
HUDSOLO01 ,Lou,Hudson,N,61,2199,1300,0,0,318,164,1,0,0,196,1164,519,326,262,0,0
HUDSOTR01 ,Troy,Hudson,N,14,383,209,19,6,25,48,9,0,27,12,175,68,60,56,47,17
HUGHEED01 ,Eddie,Hughes,N,7,16,5,0,0,0,1,1,0,1,1,7,2,0,0,3,1
HUGHEKI01 ,Kim,Hughes,N,3,35,3,0,0,11,0,2,0,0,8,2,1,2,1,0,0
HUGHEKI01 ,Kim,Hughes,A,12,266,60,0,0,72,9,0,0,0,53,57,29,5,2,0,0
HUGHELA01 ,Larry,Hughes,N,45,1574,593,154,52,206,133,80,25,95,125,570,204,195,154,112,31
HUMMEJO01 ,John,Hummer,N,9,84,4,0,0,10,4,0,0,0,10,10,2,0,0,0,0
HUMPHJA01 ,Jay,Humphries,N,41,1104,396,67,26,93,187,32,5,57,123,323,151,101,79,56,15
HUMPHKR01 ,Kris,Humphries,N,9,71,9,10,7,17,1,1,2,3,11,9,3,8,3,0,0
HUMPHRY01 ,Ryan,Humphrey,N,3,5,2,1,1,2,0,0,0,0,0,1,1,0,0,0,0
HUNTEBR01 ,Brandon,Hunter,N,3,10,2,1,2,3,1,0,1,1,2,1,1,0,0,0,0
HUNTELE01 ,Les,Hunter,A,52,1305,667,0,0,349,89,0,0,0,177,613,250,253,167,0,0
HUNTELI01 ,Lindsey,Hunter,N,147,2067,520,156,41,197,192,106,18,88,243,614,190,84,68,277,72
HunteOt01 ,Othello,Hunter,N,4,14,4,3,3,6,0,1,1,0,1,3,2,0,0,0,0
HUNTEST01 ,Steven,Hunter,N,24,258,66,25,18,43,4,1,21,9,35,54,27,23,12,0,0
HURLEBO01 ,Bobby,Hurley,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUTCHME01 ,Mel,Hutchins,N,27,1024,316,0,0,237,70,0,0,0,100,332,118,121,80,0,0
HUTTOJO01 ,Joe,Hutton,N,7,0,2,0,0,3,1,0,0,0,5,3,0,4,2,0,0
IAVARMA01 ,Marc,Iavaroni,N,43,721,201,82,50,132,59,17,15,49,126,151,76,67,48,4,1
IGUODAN01 ,Andre,Iguodala,N,17,695,257,70,20,90,85,38,6,55,32,210,87,101,67,51,16
