ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
MCGLOJO01 ,Jon,McGlocklin,N,55,1528,607,0,0,102,123,0,0,0,121,544,266,91,75,0,0
MCGRATR01 ,Tracy,McGrady,N,38,1603,1084,205,56,261,236,51,42,122,88,900,387,336,254,186,56
MCGRIEL01 ,Elton,McGriff,A,13,267,103,0,0,99,8,0,0,0,49,91,38,48,27,0,0
MCGUIDI01 ,Dick,McGuire,N,63,1436,521,0,0,284,350,0,0,0,187,437,179,275,163,0,0
McGuiDo01 ,Dominic,McGuire,N,3,15,1,2,1,3,1,1,1,0,1,0,0,2,1,0,0
MCHALKE01 ,Kevin,McHale,N,169,5716,3182,797,456,1253,274,65,281,326,571,2145,1204,972,766,21,8
MCHARMA01 ,Maurice,McHartley,A,25,699,344,0,0,98,78,0,0,0,88,337,127,114,90,0,0
MCILVJI01 ,Jim,McIlvaine,N,11,87,22,4,8,12,1,3,8,2,29,27,10,4,2,1,0
MCINNJE01 ,Jeff,McInnis,N,7,99,21,7,5,12,19,2,1,6,11,26,9,4,3,3,0
MCKENKE01 ,Kevin,McKenna,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCKENST01 ,Stan,McKenzie,N,7,71,20,0,0,9,3,0,0,0,14,29,8,5,4,0,0
MCKEYDE01 ,Derrick,McKey,N,142,3786,1176,397,229,626,319,111,88,225,436,939,436,356,265,129,39
MCKIEAA01 ,Aaron,McKie,N,75,2139,710,228,45,273,237,81,11,101,191,615,269,146,117,143,55
MCKINBI01 ,Billy,McKinney,N,19,334,144,13,9,29,60,10,0,15,31,118,59,37,26,2,0
MCKINHO01 ,Horace,McKinney,N,7,20,46,0,0,16,13,0,0,0,29,56,19,10,8,0,0
MCLEMMC01 ,Mccoy,McLemore,N,18,239,98,0,0,49,17,0,0,0,31,91,34,38,30,0,0
MCLEORO01 ,Roshown,McLeod,N,6,49,26,2,1,3,1,1,1,1,3,21,11,4,4,0,0
MCMAHJA01 ,Jack,McMahon,N,49,1518,473,0,0,149,203,0,0,0,163,505,191,163,91,0,0
MCMILJI01 ,Jim,McMillian,N,72,2722,1194,0,0,377,137,7,0,0,169,1101,497,253,200,0,0
MCMILNA01 ,Nate,McMillan,N,98,2186,489,245,98,343,505,131,43,139,271,483,184,133,84,128,37
MCMILSH01 ,Shellie,McMillon,N,9,168,78,0,0,39,9,0,0,0,37,71,28,29,22,0,0
MCMILTO01 ,Tom,McMillen,N,26,430,139,18,8,83,22,10,3,9,50,132,58,29,23,1,0
MCMULMA01 ,Malcolm,McMullan,N,6,0,14,0,0,0,9,0,0,0,19,21,4,9,6,0,0
MCNAMJO01 ,Joe,McNamee,N,13,0,33,0,0,35,9,0,0,0,26,41,12,12,9,0,0
MCNAMMA01 ,Mark,McNamara,N,8,16,11,4,0,4,0,0,0,0,1,9,5,2,1,0,0
MCNEIBO01 ,Bob,McNeill,N,5,20,9,0,0,6,5,0,0,0,6,7,4,2,1,0,0
MCNEILA01 ,Larry,McNeill,N,12,124,77,0,0,28,2,0,0,0,23,44,29,24,19,0,0
MEDVEST01 ,Stanislav,Medvedenko,N,39,337,125,47,28,75,12,5,5,9,73,109,52,27,21,0,0
MEEDA01   ,Darnell,Mee,N,3,30,7,2,0,2,2,3,0,3,4,6,3,0,0,4,1
MEENTSC01 ,Scott,Meents,N,2,8,4,1,0,1,0,1,0,0,1,4,2,1,0,0,0
MEHENDI01 ,Dick,Mehen,N,3,0,26,0,0,14,3,0,0,0,9,29,12,4,2,0,0
MEINEDO01 ,Don,Meineke,N,25,508,146,0,0,100,26,0,0,0,73,114,40,88,66,0,0
MELCHBI01 ,Bill,Melchionni,N,10,55,18,0,0,7,11,0,0,0,4,26,8,6,2,0,0
MELCHBI01 ,Bill,Melchionni,A,45,1275,524,0,0,91,227,0,0,0,91,450,203,142,118,0,0
MEMINDE01 ,Dean,Meminger,N,45,779,169,0,0,104,82,0,0,0,85,145,66,66,37,0,0
MENCECH01 ,Chuck,Mencel,N,8,150,51,0,0,18,14,0,0,0,11,55,19,16,13,0,0
MENGEJO01 ,John,Mengelt,N,19,284,167,0,0,33,33,0,0,0,40,119,62,55,43,0,0
MENYADE01 ,Dewitt,Menyard,A,3,64,15,0,0,11,0,0,0,0,8,18,7,3,1,0,0
MERCERO01 ,Ron,Mercer,N,11,252,78,21,2,23,11,7,2,8,20,85,34,12,10,0,0
MERIWJO01 ,Joe,Meriweather,N,10,199,56,19,12,31,5,5,7,9,31,49,24,14,8,0,0
MESCHTO01 ,Tom,Meschery,N,39,1321,636,0,0,344,78,0,0,0,153,580,248,173,140,0,0
MEYERDA01 ,Dave,Meyers,N,19,528,206,19,16,123,51,16,17,15,65,172,75,89,56,3,0
MEYERLO01 ,Loren,Meyer,N,3,14,0,4,2,6,1,0,2,3,0,4,0,0,0,1,0
MIASEST01 ,Stan,Miasek,N,1,0,5,0,0,0,0,0,0,0,2,4,2,1,1,0,0
MICHELA01 ,Larry,Micheaux,N,8,122,46,18,24,42,3,0,7,5,18,37,18,20,10,1,0
MIHMCH01  ,Chris,Mihm,N,5,69,20,10,8,18,0,4,4,4,14,23,7,10,6,0,0
MIKANED01 ,Ed,Mikan,N,9,106,75,0,0,48,7,0,0,0,30,82,23,32,29,0,0
MIKANGE01 ,George,Mikan,N,60,1500,1377,0,0,665,134,0,0,0,261,1167,460,584,457,0,0
MIKKEVE01 ,Vern,Mikkelsen,N,85,2102,1141,0,0,585,152,0,0,0,397,999,396,446,349,0,0
MILESCJ01 ,CJ,Miles,N,13,87,30,9,3,12,1,4,1,5,12,34,11,6,4,16,4
MILESED01 ,Eddie,Miles,N,20,277,99,0,0,35,16,0,0,0,23,111,43,17,13,0,0
MILICDA01 ,Darko,Milicic,N,21,150,55,13,12,25,6,2,5,6,13,45,22,22,11,0,0
MILICMA01 ,Marko,Milic,N,2,4,4,1,0,1,0,1,0,0,1,3,2,0,0,0,0
MILLEAN01 ,Anthony,Miller,N,8,48,8,8,7,15,2,3,1,4,7,10,3,2,2,0,0
MILLEAN02 ,Andre,Miller,N,27,1027,459,80,48,128,130,35,3,71,79,405,183,116,88,19,5
MILLEBR01 ,Brad,Miller,N,45,1233,447,204,87,291,103,28,30,82,156,335,163,156,114,23,7
MILLEED01 ,Eddie,Miller,N,2,93,33,0,0,36,5,0,0,0,9,34,13,16,7,0,0
MILLEJA01 ,Jay,Miller,A,14,72,36,0,0,25,2,0,0,0,18,38,16,10,4,0,0
MILLEMI01 ,Mike,Miller,N,20,499,179,54,6,60,33,11,8,25,43,170,68,24,21,64,22
MILLEOL01 ,Oliver,Miller,N,49,727,217,132,49,181,66,27,76,60,119,161,90,68,37,5,0
MILLERE01 ,Reggie,Miller,N,144,5309,2972,339,77,416,357,146,34,257,276,2095,941,862,770,820,320
MILLSCH01 ,Chris,Mills,N,19,524,171,57,25,82,29,20,7,20,58,143,65,29,25,34,16
MillsPa01 ,Paul,Millsap,N,34,628,236,81,81,162,20,22,30,28,93,191,99,67,38,2,0
MILLSTE01 ,Terry,Mills,N,17,409,131,57,16,73,20,10,2,14,53,122,49,25,16,48,17
MINERHA01 ,Harold,Miner,N,4,57,32,5,3,8,2,1,0,2,4,26,12,11,8,0,0
MINGYA01  ,Yao,Ming,N,28,988,555,185,76,261,29,9,42,82,105,376,195,198,165,0,0
MINNIDI01 ,Dirk,Minniefield,N,19,77,30,1,3,4,13,3,0,14,21,22,10,8,8,5,2
MINORGR01 ,Greg,Minor,N,4,37,11,0,1,1,2,1,1,1,3,13,5,1,1,0,0
MITCHLE01 ,Leland,Mitchell,A,7,57,3,0,0,3,3,0,0,0,8,9,1,2,1,0,0
MITCHMI01 ,Mike,Mitchell,N,31,1148,640,146,75,221,45,19,28,73,88,536,270,130,99,3,1
MITCHSA01 ,Sam,Mitchell,N,59,854,267,91,39,130,34,10,9,39,122,246,98,80,65,29,6
MIXST01   ,Steve,Mix,N,89,1442,642,52,33,248,137,33,8,30,143,494,244,177,153,2,1
MOBLECU01 ,Cuttino,Mobley,N,26,935,333,80,19,99,58,19,8,52,66,303,128,57,49,83,28
MOEDO01   ,Doug,Moe,A,60,2142,1081,0,0,419,160,0,0,0,221,968,411,342,259,0,0
MOGUSLE01 ,Leo,Mogus,N,3,0,10,0,0,0,7,0,0,0,10,18,3,7,4,0,0
MOHAMNA01 ,Nazr,Mohammed,N,40,728,245,110,101,211,10,23,32,39,101,172,93,84,57,2,2
MOISOJE01 ,Jerome,Moiso,N,4,60,23,8,8,16,5,0,7,4,9,16,10,4,3,0,0
MOKESPA01 ,Paul,Mokeski,N,69,815,251,148,59,207,33,26,23,39,166,183,89,97,72,4,1
MOLISWA01 ,Wayne,Molis,N,1,10,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0
MONCRSI01 ,Sidney,Moncrief,N,93,3226,1487,280,189,469,317,106,36,224,285,1033,491,602,488,58,17
MONEYER01 ,Eric,Money,N,20,505,222,0,0,42,93,3,0,0,62,210,96,38,30,0,0
MONIASE01 ,Sergei,Monia,N,26,343,77,41,11,52,19,7,5,12,41,87,29,14,10,34,9
MONROEA01 ,Earl,Monroe,N,82,2715,1471,0,0,266,264,6,0,0,216,1292,567,426,337,0,0
MONTRER01 ,Eric,Montross,N,16,168,24,19,15,34,1,0,5,10,36,22,10,8,4,0,0
MoonJa01  ,Jamario,Moon,N,8,144,39,23,10,33,5,7,4,4,11,34,16,3,1,13,6
MOOREJO01 ,Johnny,Moore,N,50,1137,483,91,41,149,346,70,13,74,135,414,201,107,71,32,10
MOOREMI01 ,Mikki,Moore,N,25,507,168,58,36,94,21,13,12,25,67,122,66,43,36,0,0
MORELJA01 ,Jackie,Moreland,N,14,223,103,0,0,62,16,0,0,0,50,90,44,22,15,0,0
MORELJA01 ,Jackie,Moreland,A,28,829,347,0,0,193,70,0,0,0,123,342,143,92,61,0,0
MORGARE01 ,Rex,Morgan,N,4,10,3,0,0,5,0,0,0,0,6,7,1,3,1,0,0
MORRICH01 ,Chris,Morris,N,69,1142,448,152,72,224,53,46,32,45,115,389,173,84,63,132,39
MORRIDW01 ,Dwight,Morrison,N,10,65,11,0,0,25,1,0,0,0,27,15,5,7,1,0,0
MORRIMA01 ,Max,Morris,N,3,0,43,0,0,0,14,0,0,0,8,40,14,26,15,0,0
MorriRa01 ,Randolph,Morris,N,3,8,0,1,1,2,0,1,0,1,2,1,0,0,0,0,0
MORTOJO01 ,John,Morton,N,3,11,8,0,0,0,0,0,0,2,1,5,2,4,4,0,0
MOSLEGL01 ,Glenn,Mosley,N,3,6,5,0,0,1,1,0,1,0,0,3,2,3,1,0,0
MOSSPE01  ,Perry,Moss,N,15,73,30,6,2,8,7,6,1,7,11,22,10,10,9,2,1
MOUNTRI01 ,Rick,Mount,A,65,1498,700,0,0,104,106,0,0,0,128,714,290,143,120,0,0
MOURNAL01 ,Alonzo,Mourning,N,95,2597,1291,486,179,665,81,45,215,226,330,861,441,619,402,19,7
MUELLER01 ,Erwin,Mueller,N,17,334,71,0,0,68,27,0,0,0,39,85,28,28,15,0,0
MUELLER01 ,Erwin,Mueller,A,5,112,16,0,0,19,15,0,0,0,10,18,5,7,6,0,0
MULLICH01 ,Chris,Mullin,N,71,2057,982,191,46,237,148,74,45,136,145,740,366,213,183,164,67
MULLIJE01 ,Jeff,Mullins,N,83,2255,1084,0,0,304,259,0,0,0,217,1030,462,213,160,0,0
MURDOER01 ,Eric,Murdock,N,8,136,55,20,3,23,16,8,1,7,12,37,14,30,25,10,2
MURESGH01 ,Gheorghe,Muresan,N,3,70,15,16,2,18,0,0,4,11,6,9,4,8,7,0,0
MURPHCA01 ,Calvin,Murphy,N,51,1660,945,24,13,78,213,46,1,62,197,817,388,177,165,14,4
MURRAKE01 ,Ken,Murray,N,6,15,40,0,0,14,10,0,0,0,13,58,17,7,6,0,0
MURRALA01 ,Lamond,Murray,N,14,262,84,38,11,49,5,5,3,7,32,74,27,18,16,42,14
MURRARO01 ,Ronald,Murray,N,40,938,277,66,21,87,68,25,8,33,64,285,94,87,70,78,19
MURRATR01 ,Tracy,Murray,N,7,103,63,6,6,12,3,6,2,2,14,39,21,17,16,13,5
MURREDO01 ,Dorie,Murrey,N,17,93,33,0,0,33,1,0,0,0,6,27,13,11,7,0,0
MURREWI01 ,Willie,Murrell,A,24,689,316,0,0,159,29,0,0,0,62,278,130,69,56,0,0
MUSTAJE01 ,Jerrod,Mustaf,N,10,32,18,4,3,7,0,0,2,1,2,10,7,5,4,0,0
MUTOMDI01 ,Dikembe,Mutombo,N,101,3117,918,666,296,962,78,40,251,149,259,586,303,444,312,1,0
MYERSPE01 ,Pete,Myers,N,24,329,87,15,17,32,37,12,6,21,33,71,34,33,18,6,1
NACHBBO01 ,Bostjan,Nachbar,N,18,323,133,35,6,41,20,8,1,20,39,104,44,27,26,51,19
NAILOLE01 ,Lee,Nailon,N,9,160,69,14,10,24,6,3,0,7,17,59,27,19,15,1,0
NAJERED01 ,Eduardo,Najera,N,54,893,219,100,77,177,31,29,9,33,134,184,83,64,48,12,5
NANCELA01 ,Larry,Nance,N,68,2428,1070,351,184,535,160,59,144,106,220,813,440,256,190,1,0
NASHBO01  ,Bob,Nash,N,5,64,24,0,0,11,0,0,4,0,10,27,8,10,8,0,0
NASHST01  ,Steve,Nash,N,102,3689,1763,305,60,365,891,62,13,320,216,1370,640,360,324,385,159
NATERSW01 ,Swen,Nater,N,17,146,58,24,16,40,1,1,2,8,27,38,19,26,20,0,0
NATERSW01 ,Swen,Nater,A,13,445,193,0,0,181,21,0,0,0,39,169,87,35,19,0,0
NATTCA01  ,Calvin,Natt,N,45,1504,826,229,97,326,109,27,12,91,100,636,320,250,184,9,2
NAULLWI01 ,Willie,Naulls,N,35,485,248,0,0,134,21,0,0,0,92,267,99,67,50,0,0
NDONGBO01 ,Boniface,N'Dong,N,22,152,50,22,15,37,7,2,5,6,23,53,22,9,6,1,0
NEALLL01  ,Lloyd,Neal,N,22,253,92,0,0,81,19,0,4,0,39,84,37,27,18,0,0
NEALYED01 ,Ed,Nealy,N,33,376,84,63,28,91,15,14,1,10,66,68,30,27,19,15,5
NELSOBA01 ,Barry,Nelson,N,2,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
NELSODO01 ,Don,Nelson,N,150,3209,1577,0,0,719,210,0,0,0,399,1175,585,498,407,0,0
NELSOJA01 ,Jameer,Nelson,N,19,552,238,51,9,60,74,7,2,37,65,186,86,52,40,61,26
NELSORO01 ,Ron,Nelson,A,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NESTERA01 ,Radoslav,Nesterovic,N,63,1102,253,148,81,229,38,13,39,40,160,250,117,36,18,2,1
NEUMAJO01 ,Johnny,Neumann,N,6,68,24,0,0,2,9,0,0,0,14,29,11,4,2,0,0
NEUMAJO01 ,Johnny,Neumann,A,23,285,158,0,0,36,22,0,0,0,41,168,67,27,24,0,0
NEUMAPA01 ,Paul,Neumann,N,29,608,217,0,0,61,82,0,0,0,87,194,76,85,65,0,0
NEVITCH01 ,Chuck,Nevitt,N,16,55,16,10,6,16,1,4,9,6,13,16,5,10,6,0,0
NEWBIIV01 ,Ivano,Newbill,N,3,5,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0
NEWBLIR01 ,Ira,Newble,N,12,22,7,2,1,3,1,1,0,1,4,5,3,0,0,3,1
NEWLIMI01 ,Mike,Newlin,N,22,682,325,0,0,73,103,1,1,0,72,270,135,65,55,0,0
NEWMADA01 ,Dave,Newmark,N,6,42,34,0,0,12,2,0,0,0,8,33,15,4,4,0,0
NEWMAJO01 ,Johnny,Newman,N,39,851,421,40,41,81,56,35,8,59,119,335,151,137,105,62,14
NEWTOBI01 ,Bill,Newton,A,4,7,4,0,0,5,0,0,0,0,3,5,2,0,0,0,0
NICHOJA01 ,Jack,Nichols,N,40,807,361,0,0,209,90,0,0,0,120,362,138,110,85,0,0
NIEMARI01 ,Rich,Niemann,A,5,53,17,0,0,12,0,0,0,0,0,18,7,3,3,0,0
NIEMIJO01 ,John,Niemiera,N,8,0,28,0,0,0,8,0,0,0,10,27,11,8,6,0,0
NILESMI01 ,Mike,Niles,N,2,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
NIMPHKU01 ,Kurt,Nimphius,N,25,306,70,47,34,81,18,2,19,14,52,65,26,23,18,0,0
NIXONNO01 ,Norm,Nixon,N,58,2287,1027,118,40,195,465,89,8,122,201,921,440,186,142,15,5
NoahJo01  ,Joakim,Noah,N,7,271,71,64,28,92,16,6,15,8,31,51,26,25,19,0,0
NOBLECH01 ,Chuck,Noble,N,29,591,186,0,0,63,86,0,0,0,71,244,79,36,28,0,0
NOCIOAN01 ,Andres,Nocioni,N,22,630,299,121,16,137,31,8,13,38,66,237,105,76,60,77,29
NOELPA01  ,Paul,Noel,N,14,0,22,0,0,9,2,0,0,0,19,25,8,10,6,0,0
NORDMRO01 ,Robert,Nordmann,N,2,5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
NORMACO01 ,Connie,Norman,N,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0
NORMAKE01 ,Ken,Norman,N,13,390,143,64,35,99,30,8,4,10,39,138,59,46,21,18,4
NORRIAU01 ,Audie,Norris,N,20,214,79,40,31,71,12,7,8,18,43,55,32,32,15,0,0
NORRIMO01 ,Moochie,Norris,N,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NORWOWI01 ,Willie,Norwood,N,14,290,92,0,0,45,13,0,1,0,43,81,38,23,16,0,0
NovakSt01 ,Steve,Novak,N,3,21,8,1,1,2,0,0,1,0,2,4,3,0,0,3,2
NOWITDI01 ,Dirk,Nowitzki,N,97,4068,2472,891,178,1069,251,119,101,211,292,1770,803,858,754,305,112
NUTTDE01  ,Dennis,Nutt,N,1,10,2,1,1,2,1,0,0,1,0,5,1,0,0,2,0
NWOSUJU01 ,Julius,Nwosu,N,2,7,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0
OAKLECH01 ,Charles,Oakley,N,144,5108,1550,926,519,1445,283,178,42,308,503,1272,584,486,367,41,15
OBANCH01  ,Charles,O'bannon,N,4,9,4,0,1,1,1,0,0,3,0,3,2,0,0,0,0
OBERTFA01 ,Fabricio,Oberto,N,46,802,194,118,61,179,35,15,12,28,111,141,85,39,24,1,0
OdenGr01  ,Greg,Oden,N,6,96,30,15,11,26,0,2,5,8,27,21,11,12,8,0,0
ODOMLA01  ,Lamar,Odom,N,69,2538,1034,491,178,669,186,49,82,161,245,790,386,348,224,113,38
OGDENCA01 ,Carlos,Ogden,N,2,16,12,0,0,3,6,0,0,0,1,11,5,4,2,0,0
OGDENRA01 ,Ralph,Ogden,N,2,15,6,0,0,4,1,0,0,0,0,5,1,4,4,0,0
OGGAL01   ,Alan,Ogg,N,3,15,3,1,0,1,0,1,3,0,3,3,1,2,1,0,0
OHLDO01   ,Don,Ohl,N,39,1165,631,0,0,134,105,0,0,0,132,578,249,179,133,0,0
OKEEDI01  ,Dick,O'keefe,N,2,0,15,0,0,0,5,0,0,0,10,13,4,8,7,0,0
OKORMI01  ,Mike,O'Koren,N,20,333,74,40,21,61,33,6,5,20,59,91,34,10,6,3,0
OKURME01  ,Mehmet,Okur,N,70,1665,569,301,113,414,78,49,46,74,167,497,205,148,105,151,54
OLAJUHA01 ,Hakeem,Olajuwon,N,145,5749,3755,1150,471,1621,458,245,472,424,562,2847,1504,1034,743,18,4
OLBERMA01 ,Mark,Olberding,N,47,1366,521,105,44,255,131,35,19,58,183,435,204,144,112,4,1
OLBERMA01 ,Mark,Olberding,A,7,73,13,0,0,22,3,0,0,0,15,15,5,6,3,0,0
OLDHAJA01 ,Jawann,Oldham,N,5,95,14,15,9,24,3,6,7,12,19,16,7,0,0,0,0
OLDHAJO01 ,Johnny,Oldham,N,3,0,17,0,0,5,5,0,0,0,13,16,6,10,5,0,0
OLIVEBR01 ,Brian,Oliver,N,4,15,6,0,0,0,1,1,0,0,4,6,2,2,2,0,0
OLLIEKE01 ,Kevin,Ollie,N,41,325,86,25,2,27,61,7,0,16,24,69,28,31,29,2,1
OLOWOMI01 ,Michael,Olowokandi,N,15,224,31,36,16,52,2,2,11,17,50,37,12,8,7,1,0
OLSENEN01 ,Enoch,Olsen,N,15,84,46,0,0,32,6,0,0,0,16,45,21,12,4,0,0
OLSENEN01 ,Enoch,Olsen,A,12,211,37,0,0,61,0,0,0,0,0,43,18,7,1,0,0
ONEAJE01  ,Jermaine,O'neal,N,76,2178,1009,422,119,541,85,28,138,142,227,851,365,389,279,16,0
ONEASH01  ,Shaquille,O'neal,N,203,7844,5121,1602,845,2447,566,114,446,625,724,3532,1992,2268,1137,0,0
ORMSBA01  ,Barry,Orms,N,3,10,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ORRLO01   ,Louis,Orr,N,22,393,144,46,37,83,13,14,6,24,46,143,56,38,32,0,0
OSHEKE01  ,Kevin,O'shea,N,5,0,5,0,0,5,1,0,0,0,8,7,1,4,3,0,0
OSTERGR01 ,Greg,Ostertag,N,89,1768,372,302,180,482,31,29,165,68,247,299,139,164,94,0,0
OSTERWA01 ,Wally,Osterkorn,N,33,908,258,0,0,207,70,0,0,0,97,232,83,157,92,0,0
OTTENDO01 ,Don,Otten,N,5,0,70,0,0,19,14,0,0,0,22,51,18,42,34,0,0
OUTLABO01 ,Bo,Outlaw,N,23,417,73,61,27,88,27,11,19,27,57,65,29,42,15,1,0
OUTLATR01 ,Travis,Outlaw,N,6,170,54,16,2,18,3,5,4,5,10,66,21,12,8,16,4
OWENSBI01 ,Billy,Owens,N,11,415,169,59,30,89,40,16,5,24,42,141,70,45,29,5,0
OWENSJI01 ,Jim,Owens,N,8,0,80,0,0,0,19,0,0,0,37,89,26,41,28,0,0
OWENSTO01 ,Tom,Owens,N,16,375,159,9,13,82,33,10,10,5,62,127,67,37,25,0,0
OWENSTO01 ,Tom,Owens,A,28,751,338,0,0,238,36,0,0,0,102,274,136,96,66,0,0
OYEDEOL01 ,Olumide,Oyedeji,N,3,17,9,2,4,6,1,0,0,1,2,5,4,5,1,0,0
PACEJO01  ,Joe,Pace,N,9,52,25,0,0,20,1,1,6,0,17,10,7,15,11,0,0
PACHUZA01 ,Zaza,Pachulia,N,18,365,105,59,37,96,5,7,3,23,62,78,29,63,47,1,0
PACKRO01  ,Robert,Pack,N,33,436,170,28,7,35,62,23,7,51,65,154,59,63,46,21,6
PADDIGE01 ,Gerald,Paddio,N,9,30,14,2,1,3,4,2,1,2,1,14,7,0,0,1,0
PADGESC01 ,Scott,Padgett,N,30,291,83,37,28,65,15,10,6,18,44,79,32,11,8,35,11
PALAZTO01 ,Togo,Palazzi,N,23,216,121,0,0,59,12,0,0,0,33,136,48,39,25,0,0
PALMEER01 ,Errol,Palmer,A,6,75,28,0,0,27,7,0,0,0,17,25,10,10,8,0,0
PALMEWA01 ,Walter,Palmer,N,2,6,2,1,0,1,0,0,0,1,3,4,1,0,0,0,0
PARGOJA01 ,Jannero,Pargo,N,33,489,214,40,10,50,54,23,3,29,58,203,76,38,27,95,35
PARISRO01 ,Robert,Parish,N,184,6177,2820,1134,528,1765,234,138,298,365,617,2239,1132,770,556,1,0
PARKEAN01 ,Anthony,Parker,N,11,436,148,55,7,62,16,13,4,11,30,111,46,53,43,37,13
PARKESO01 ,Sonny,Parker,N,10,120,42,0,0,28,9,0,0,0,9,36,19,4,4,0,0
PARKETO01 ,Tony,Parker,N,122,4460,2300,316,64,380,597,117,10,348,272,1995,918,553,394,238,70
PARKEWI01 ,Smush,Parker,N,12,317,73,15,13,28,14,18,2,15,32,86,27,14,14,32,5
PARKHBA01 ,Barry,Parkhill,A,3,9,6,0,0,1,2,0,0,0,0,7,3,0,0,0,0
PARKME01  ,Medford,Park,N,26,418,129,0,0,74,35,0,0,0,61,121,38,77,53,0,0
PARKSCH01 ,Cherokee,Parks,N,7,55,12,13,3,16,0,1,2,2,11,17,6,1,0,0,0
PARKSRI01 ,Rich,Parks,A,5,7,1,0,0,2,0,0,0,0,3,2,0,4,1,0,0
PATRIST01 ,Stan,Patrick,N,3,0,10,0,0,0,1,0,0,0,2,7,4,3,2,0,0
PATTEAN01 ,Andrae,Patterson,N,2,7,0,3,1,4,2,0,0,1,1,0,0,0,0,0,0
PATTEGE01 ,George,Patterson,N,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PATTERU01 ,Ruben,Patterson,N,22,367,147,24,30,54,17,11,4,25,29,111,53,57,41,7,0
PATTETO01 ,Tommy,Patterson,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAULCH01  ,Chris,Paul,N,17,687,372,61,20,81,187,36,2,46,51,294,141,100,80,37,10
PAULKCH01 ,Charlie,Paulk,N,7,13,6,0,0,5,0,0,0,0,5,10,3,0,0,0,0
PAULTBI01 ,Billy,Paultz,N,70,1616,515,143,81,380,106,28,53,47,157,505,215,129,85,1,0
PAULTBI01 ,Billy,Paultz,A,56,2172,950,0,0,682,115,0,0,0,216,733,372,285,206,0,0
PAVLOAL01 ,Aleksandar,Pavlovic,N,42,822,234,57,20,77,37,25,5,41,90,237,92,45,24,76,26
PAXSOJI01 ,Jim,Paxson,N,53,1107,554,53,27,80,100,38,4,56,81,458,212,151,122,30,8
PAXSOJI02 ,Jim,Paxson,N,7,84,37,0,0,22,8,0,0,0,11,47,12,22,13,0,0
PAXSOJO01 ,John,Paxson,N,119,2617,748,98,11,109,306,65,3,71,249,620,306,105,91,122,45
PAYNEKE01 ,Kenny,Payne,N,3,10,6,1,1,2,0,0,0,1,3,5,2,2,2,2,0
PAYNETO01 ,Tom,Payne,N,1,5,4,0,0,4,0,0,0,0,1,1,1,5,2,0,0
PAYTOGA01 ,Gary,Payton,N,154,5480,2155,427,148,575,811,216,32,297,434,1938,855,436,308,435,137
PAYTOME01 ,Mel,Payton,N,5,54,25,0,0,9,1,0,0,0,13,19,8,10,9,0,0
PecheOl01 ,Oleksiy,Pecherov,N,3,8,2,1,0,1,0,1,1,0,0,1,0,2,2,0,0
PECKWI01  ,Wiley,Peck,N,2,9,0,3,0,3,0,0,1,0,1,3,0,0,0,0,0
PEEKRI01  ,Richard,Peek,A,8,137,43,0,0,42,3,0,0,0,17,37,18,15,7,0,0
PEELEAN01 ,Anthony,Peeler,N,57,1418,399,138,51,189,102,63,10,61,117,425,150,54,43,170,56
PEEPLGE01 ,George,Peeples,A,21,545,141,0,0,170,15,0,0,0,41,123,47,70,47,0,0
PELLOSA01 ,Sam,Pellom,N,5,22,3,0,1,1,1,0,1,0,3,6,1,3,1,0,0
PERDUWI01 ,Will,Perdue,N,108,1256,367,224,153,377,34,15,42,73,206,264,139,139,88,4,1
PERKIKE01 ,Kendrick,Perkins,N,45,1171,339,215,106,321,33,21,72,67,149,238,139,92,61,2,0
PERKISA01 ,Sam,Perkins,N,167,4785,1861,681,255,936,246,118,126,207,441,1479,656,506,397,419,152
PERKIWA01 ,Warren,Perkins,N,2,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
PERRYCU01 ,Curtis,Perry,N,36,1250,399,0,0,356,63,0,0,0,146,361,167,97,65,0,0
PERRYEL01 ,Elliot,Perry,N,19,187,91,12,4,16,29,10,0,10,13,73,34,27,21,6,2
PERRYRO01 ,Ron,Perry,A,17,202,86,0,0,21,18,0,0,0,33,114,34,27,18,0,0
PERRYTI01 ,Tim,Perry,N,23,302,137,39,23,62,13,8,13,20,44,92,53,52,31,0,0
PERSOCH01 ,Chuck,Person,N,51,1332,577,161,23,184,86,23,12,60,120,464,208,114,84,197,77
